Round County Immigrants;Round State Immigrants;County Immigrants;County name;County;Anzahl der Datensätze;Origin (B05006 2016 5 yr (State));Origin (quickfilter 2);Origin (tooltip);Origin (quickfilter);Origin;State (B05006 2016 5 yr (State));State Immigrants;State;Total state immigrant population;Total state population
;154.000;71;McCreary County, Kentucky;McCreary County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;90;McLean County, Kentucky;McLean County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;445;Meade County, Kentucky;Meade County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;47;Menifee County, Kentucky;Menifee County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;457;Mercer County, Kentucky;Mercer County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;99;Metcalfe County, Kentucky;Metcalfe County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;215;Monroe County, Kentucky;Monroe County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;261;Montgomery County, Kentucky;Montgomery County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;105;Morgan County, Kentucky;Morgan County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;172;Muhlenberg County, Kentucky;Muhlenberg County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;496;Nelson County, Kentucky;Nelson County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;92;Nicholas County, Kentucky;Nicholas County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;539;Ohio County, Kentucky;Ohio County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;1952;Oldham County, Kentucky;Oldham County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;29;Owen County, Kentucky;Owen County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;12;Owsley County, Kentucky;Owsley County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;44;Pendleton County, Kentucky;Pendleton County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;370;Perry County, Kentucky;Perry County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;502;Pike County, Kentucky;Pike County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;140;Powell County, Kentucky;Powell County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;1201;Pulaski County, Kentucky;Pulaski County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;2;Robertson County, Kentucky;Robertson County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;33;Rockcastle County, Kentucky;Rockcastle County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;750;Rowan County, Kentucky;Rowan County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;400;Russell County, Kentucky;Russell County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;1742;Scott County, Kentucky;Scott County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
3.000;154.000;2971;Shelby County, Kentucky;Shelby County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;299;Simpson County, Kentucky;Simpson County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;216;Spencer County, Kentucky;Spencer County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;383;Taylor County, Kentucky;Taylor County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;292;Todd County, Kentucky;Todd County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;125;Trigg County, Kentucky;Trigg County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;46;Trimble County, Kentucky;Trimble County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;169;Union County, Kentucky;Union County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
11.200;154.000;11205;Warren County, Kentucky;Warren County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;275;Washington County, Kentucky;Washington County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;263;Wayne County, Kentucky;Wayne County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;372;Webster County, Kentucky;Webster County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;192;Whitley County, Kentucky;Whitley County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;0;Wolfe County, Kentucky;Wolfe County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
;154.000;1217;Woodford County, Kentucky;Woodford County;1;Total:;Total:;all countries;(Total);Total:;Kentucky;154143;Kentucky;154143;4411989
28.700;4.442.000;28702;Albany County, New York;Albany County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1098;Allegany County, New York;Allegany County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
501.600;4.442.000;501608;Bronx County, New York;Bronx County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
13.000;4.442.000;12976;Broome County, New York;Broome County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1664;Cattaraugus County, New York;Cattaraugus County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1833;Cayuga County, New York;Cayuga County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.800;4.442.000;2752;Chautauqua County, New York;Chautauqua County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.500;4.442.000;2455;Chemung County, New York;Chemung County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;884;Chenango County, New York;Chenango County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
3.500;4.442.000;3519;Clinton County, New York;Clinton County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
4.100;4.442.000;4117;Columbia County, New York;Columbia County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1046;Cortland County, New York;Cortland County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1865;Delaware County, New York;Delaware County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
33.600;4.442.000;33600;Dutchess County, New York;Dutchess County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
61.400;4.442.000;61368;Erie County, New York;Erie County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1266;Essex County, New York;Essex County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.100;4.442.000;2062;Franklin County, New York;Franklin County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1014;Fulton County, New York;Fulton County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1123;Genesee County, New York;Genesee County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.900;4.442.000;2867;Greene County, New York;Greene County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;127;Hamilton County, New York;Hamilton County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1847;Herkimer County, New York;Herkimer County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
4.400;4.442.000;4426;Jefferson County, New York;Jefferson County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
970.600;4.442.000;970553;Kings County, New York;Kings County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;431;Lewis County, New York;Lewis County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.200;4.442.000;2154;Livingston County, New York;Livingston County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1806;Madison County, New York;Madison County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
63.400;4.442.000;63391;Monroe County, New York;Monroe County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1685;Montgomery County, New York;Montgomery County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
296.100;4.442.000;296079;Nassau County, New York;Nassau County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
472.400;4.442.000;472404;New York County, New York;New York County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
8.400;4.442.000;8438;Niagara County, New York;Niagara County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
17.800;4.442.000;17798;Oneida County, New York;Oneida County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
34.500;4.442.000;34507;Onondaga County, New York;Onondaga County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
4.100;4.442.000;4110;Ontario County, New York;Ontario County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
40.700;4.442.000;40688;Orange County, New York;Orange County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;1464;Orleans County, New York;Orleans County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.300;4.442.000;2280;Oswego County, New York;Oswego County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
2.200;4.442.000;2185;Otsego County, New York;Otsego County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
12.600;4.442.000;12555;Putnam County, New York;Putnam County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
1.098.000;4.442.000;1098014;Queens County, New York;Queens County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
7.600;4.442.000;7584;Rensselaer County, New York;Rensselaer County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
103.500;4.442.000;103527;Richmond County, New York;Richmond County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
68.700;4.442.000;68682;Rockland County, New York;Rockland County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
11.500;4.442.000;11489;Saratoga County, New York;Saratoga County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
15.800;4.442.000;15822;Schenectady County, New York;Schenectady County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;928;Schoharie County, New York;Schoharie County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;360;Schuyler County, New York;Schuyler County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;4.442.000;870;Seneca County, New York;Seneca County;1;Total:;Total:;all countries;(Total);Total:;New York;4442211;New York;4442211;19697457
;188.000;911;Acadia Parish, Louisiana;Acadia Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;858;Allen Parish, Louisiana;Allen Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
3.000;188.000;3014;Ascension Parish, Louisiana;Ascension Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;302;Assumption Parish, Louisiana;Assumption Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;368;Avoyelles Parish, Louisiana;Avoyelles Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1009;Beauregard Parish, Louisiana;Beauregard Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;52;Bienville Parish, Louisiana;Bienville Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
5.600;188.000;5563;Bossier Parish, Louisiana;Bossier Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
5.800;188.000;5763;Caddo Parish, Louisiana;Caddo Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
4.800;188.000;4779;Calcasieu Parish, Louisiana;Calcasieu Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;174;Caldwell Parish, Louisiana;Caldwell Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;228;Cameron Parish, Louisiana;Cameron Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;148;Catahoula Parish, Louisiana;Catahoula Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;121;Claiborne Parish, Louisiana;Claiborne Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;102;Concordia Parish, Louisiana;Concordia Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;300;De Soto Parish, Louisiana;De Soto Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
23.000;188.000;23021;East Baton Rouge Parish, Louisiana;East Baton Rouge Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;56;East Carroll Parish, Louisiana;East Carroll Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;154;East Feliciana Parish, Louisiana;East Feliciana Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1022;Evangeline Parish, Louisiana;Evangeline Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;42;Franklin Parish, Louisiana;Franklin Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;723;Grant Parish, Louisiana;Grant Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.900;188.000;2881;Iberia Parish, Louisiana;Iberia Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;211;Iberville Parish, Louisiana;Iberville Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;208;Jackson Parish, Louisiana;Jackson Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;264;Jefferson Davis Parish, Louisiana;Jefferson Davis Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
53.800;188.000;53837;Jefferson Parish, Louisiana;Jefferson Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
9.900;188.000;9865;Lafayette Parish, Louisiana;Lafayette Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
3.100;188.000;3144;Lafourche Parish, Louisiana;Lafourche Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;350;LaSalle Parish, Louisiana;LaSalle Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1876;Lincoln Parish, Louisiana;Lincoln Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
3.000;188.000;2982;Livingston Parish, Louisiana;Livingston Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;53;Madison Parish, Louisiana;Madison Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;177;Morehouse Parish, Louisiana;Morehouse Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;612;Natchitoches Parish, Louisiana;Natchitoches Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
22.600;188.000;22552;Orleans Parish, Louisiana;Orleans Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.500;188.000;2548;Ouachita Parish, Louisiana;Ouachita Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1398;Plaquemines Parish, Louisiana;Plaquemines Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;305;Pointe Coupee Parish, Louisiana;Pointe Coupee Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
3.900;188.000;3883;Rapides Parish, Louisiana;Rapides Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;68;Red River Parish, Louisiana;Red River Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;56;Richland Parish, Louisiana;Richland Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;353;Sabine Parish, Louisiana;Sabine Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.400;188.000;2392;St. Bernard Parish, Louisiana;St. Bernard Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.100;188.000;2124;St. Charles Parish, Louisiana;St. Charles Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;94;St. Helena Parish, Louisiana;St. Helena Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;136;St. James Parish, Louisiana;St. James Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1412;St. John the Baptist Parish, Louisiana;St. John the Baptist Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;895;St. Landry Parish, Louisiana;St. Landry Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1092;St. Martin Parish, Louisiana;St. Martin Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.200;188.000;2150;St. Mary Parish, Louisiana;St. Mary Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
8.600;188.000;8585;St. Tammany Parish, Louisiana;St. Tammany Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.400;188.000;2430;Tangipahoa Parish, Louisiana;Tangipahoa Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;9;Tensas Parish, Louisiana;Tensas Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
4.200;188.000;4215;Terrebonne Parish, Louisiana;Terrebonne Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;444;Union Parish, Louisiana;Union Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;1542;Vermilion Parish, Louisiana;Vermilion Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
2.100;188.000;2068;Vernon Parish, Louisiana;Vernon Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;727;Washington Parish, Louisiana;Washington Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;308;Webster Parish, Louisiana;Webster Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;343;West Baton Rouge Parish, Louisiana;West Baton Rouge Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;112;West Carroll Parish, Louisiana;West Carroll Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;89;West Feliciana Parish, Louisiana;West Feliciana Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
;188.000;80;Winn Parish, Louisiana;Winn Parish;1;Total:;Total:;all countries;(Total);Total:;Louisiana;187580;Louisiana;187580;4645670
3.200;48.000;3207;Androscoggin County, Maine;Androscoggin County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
3.000;48.000;3023;Aroostook County, Maine;Aroostook County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
18.200;48.000;18150;Cumberland County, Maine;Cumberland County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;684;Franklin County, Maine;Franklin County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;1758;Hancock County, Maine;Hancock County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
2.900;48.000;2916;Kennebec County, Maine;Kennebec County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;1105;Knox County, Maine;Knox County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;1090;Lincoln County, Maine;Lincoln County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;1069;Oxford County, Maine;Oxford County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
4.100;48.000;4146;Penobscot County, Maine;Penobscot County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;292;Piscataquis County, Maine;Piscataquis County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;891;Sagadahoc County, Maine;Sagadahoc County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;889;Somerset County, Maine;Somerset County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;1009;Waldo County, Maine;Waldo County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
;48.000;1269;Washington County, Maine;Washington County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
6.200;48.000;6153;York County, Maine;York County;1;Total:;Total:;all countries;(Total);Total:;Maine;47651;Maine;47651;1329923
12.700;768.000;12726;Alamance County, North Carolina;Alamance County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;1001;Alexander County, North Carolina;Alexander County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;594;Alleghany County, North Carolina;Alleghany County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;869;Anson County, North Carolina;Anson County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;1091;Ashe County, North Carolina;Ashe County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;725;Avery County, North Carolina;Avery County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;1790;Beaufort County, North Carolina;Beaufort County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;332;Bertie County, North Carolina;Bertie County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;1519;Bladen County, North Carolina;Bladen County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
5.100;768.000;5121;Brunswick County, North Carolina;Brunswick County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
13.600;768.000;13585;Buncombe County, North Carolina;Buncombe County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
4.300;768.000;4252;Burke County, North Carolina;Burke County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
14.900;768.000;14858;Cabarrus County, North Carolina;Cabarrus County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
2.800;768.000;2803;Caldwell County, North Carolina;Caldwell County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;317;Camden County, North Carolina;Camden County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
2.500;768.000;2529;Carteret County, North Carolina;Carteret County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;598;Caswell County, North Carolina;Caswell County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
10.700;768.000;10686;Catawba County, North Carolina;Catawba County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
5.800;768.000;5832;Chatham County, North Carolina;Chatham County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;667;Cherokee County, North Carolina;Cherokee County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;417;Chowan County, North Carolina;Chowan County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;318;Clay County, North Carolina;Clay County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
2.600;768.000;2641;Cleveland County, North Carolina;Cleveland County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
;768.000;1561;Columbus County, North Carolina;Columbus County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
5.100;768.000;5149;Craven County, North Carolina;Craven County;1;Total:;Total:;all countries;(Total);Total:;North Carolina;767614;North Carolina;767614;9940828
